Gene	Symbol
MIR1302-2HG	MIR1302-2HG
FAM138A	FAM138A
OR4F5	OR4F5
OR4F29	OR4F29
OR4F16	OR4F16
LINC01409	LINC01409
FAM87B	FAM87B
LINC01128	LINC01128
LINC00115	LINC00115
FAM41C	FAM41C
LINC02593	LINC02593
SAMD11	SAMD11
NOC2L	NOC2L
KLHL17	KLHL17
PLEKHN1	PLEKHN1
PERM1	PERM1
HES4	HES4
ISG15	ISG15
AL645608.1	LINC02593
AGRN	AGRN
RNF223	RNF223
C1orf159	C1orf159
LINC01342	LINC01342
TTLL10-AS1	TTLL10-AS1
TTLL10	TTLL10
TNFRSF18	TNFRSF18
TNFRSF4	TNFRSF4
SDF4	SDF4
B3GALT6	B3GALT6
C1QTNF12	C1QTNF12
UBE2J2	UBE2J2
LINC01786	LINC01786
SCNN1D	SCNN1D
ACAP3	ACAP3
PUSL1	PUSL1
INTS11	INTS11
CPTP	CPTP
TAS1R3	TAS1R3
DVL1	DVL1
MXRA8	MXRA8
AURKAIP1	AURKAIP1
CCNL2	CCNL2
MRPL20-AS1	MRPL20-AS1
MRPL20	MRPL20
ANKRD65	ANKRD65
TMEM88B	TMEM278
LINC01770	LINC01770
VWA1	VWA1
ATAD3C	ATAD3C
ATAD3B	ATAD3B
ATAD3A	ATAD3A
TMEM240	TMEM240
SSU72	SSU72
FNDC10	FNDC10
MIB2	MIB2
MMP23B	MMP23B
CDK11B	CDK11B
SLC35E2B	SLC35E2B
CDK11A	CDK11A
SLC35E2A	SLC35E2A
NADK	NADK
GNB1	GNB1
CALML6	CALML6
TMEM52	TMEM52
CFAP74	CFAP74
GABRD	GABRD
PRKCZ	PRKCZ
PRKCZ-AS1	PRKCZ-AS1
FAAP20	FAAP20
SKI	SKI
MORN1	MORN1
RER1	RER1
PEX10	PEX10
PLCH2	PLCH2
PANK4	PANK4
HES5	HES5
TNFRSF14-AS1	TNFRSF14-AS1
TNFRSF14	TNFRSF14
PRXL2B	PRXL2B
MMEL1	MMEL1
TTC34	TTC34
ACTRT2	ACTRT2
PRDM16-DT	PRDM16-DT
PRDM16	PRDM16
ARHGEF16	ARHGEF16
MEGF6	MEGF6
TPRG1L	TPRG1L
WRAP73	WRAP73
TP73	TP73
CCDC27	CCDC27
SMIM1	SMIM1
LRRC47	LRRC47
CEP104	CEP104
DFFB	DFFB
C1orf174	C1orf174
LINC01134	LINC01134
LINC01346	LINC01346
LINC01345	LINC01345
LINC02780	LINC02780
LINC01777	LINC01777
LINC01646	LINC01646
AJAP1	AJAP1
LINC02781	LINC02781
LINC02782	LINC02782
NPHP4	NPHP4
KCNAB2	KCNAB2
CHD5	CHD5
RPL22	RPL22
RNF207	RNF207
ICMT	ICMT
LINC00337	ICMT-DT
HES3	HES3
GPR153	GPR153
ACOT7	ACOT7
HES2	HES2
ESPN	ESPN
TNFRSF25	TNFRSF25
PLEKHG5	PLEKHG5
NOL9	NOL9
TAS1R1	TAS1R1
ZBTB48	ZBTB48
KLHL21	KLHL21
PHF13	PHF13
THAP3	THAP3
DNAJC11	DNAJC11
LINC01672	LINC01672
CAMTA1-DT	CAMTA1-DT
CAMTA1	CAMTA1
AL512330.1	CAMTA1-AS3
CAMTA1-IT1	CAMTA1-IT1
VAMP3	VAMP3
PER3	PER3
UTS2	UTS2
TNFRSF9	TNFRSF9
PARK7	PARK7
ERRFI1	ERRFI1
LINC01714	LINC01714
SLC45A1	SLC45A1
RERE	RERE
RERE-AS1	RERE-AS1
ENO1	ENO1
ENO1-AS1	ENO1-AS1
CA6	CA6
SLC2A7	SLC2A7
SLC2A5	SLC2A5
GPR157	GPR157
MIR34AHG	MIR34AHG
LNCTAM34A	LNCTAM34A
H6PD	H6PD
SPSB1	SPSB1
LINC02606	LINC02606
SLC25A33	SLC25A33
TMEM201	TMEM201
PIK3CD	PIK3CD
PIK3CD-AS1	PIK3CD-AS1
PIK3CD-AS2	PIK3CD-AS2
CLSTN1	CLSTN1
CTNNBIP1	CTNNBIP1
LZIC	LZIC
