Gene	Symbol
HES4	HES4
ISG15	ISG15
TNFRSF18	TNFRSF18
TNFRSF4	TNFRSF4
SCNN1D	SCNN1D
MRPL20	MRPL20
ATAD3B	ATAD3B
ATAD3A	ATAD3A
SMIM1	SMIM1
HES2	HES2
VAMP3	VAMP3
TNFRSF9	TNFRSF9
PARK7	PARK7
ERRFI1	ERRFI1
ENO1	ENO1
H6PD	H6PD
PGD	PGD
SRM	SRM
DRAXIN	DRAXIN
AGTRAP	AGTRAP
MIIP	MIIP
TNFRSF8	TNFRSF8
TNFRSF1B	TNFRSF1B
DHRS3	DHRS3
PDPN	PDPN
KAZN	KAZN
FHAD1	FHAD1
EFHD2	EFHD2
SLC25A34	SLC25A34
FAM131C	FAM131C
ARHGEF10L	ARHGEF10L
MRTO4	MRTO4
AKR7A3	AKR7A3
UBXN10-AS1	PLA2G2C
CDA	CDA
ECE1	ECE1
RAP1GAP	RAP1GAP
C1QA	C1QA
C1QC	C1QC
C1QB	C1QB
EPHB2	EPHB2
ZNF436-AS1	ZNF436-AS1
E2F2	E2F2
ID3	ID3
FUCA1	FUCA1
CLIC4	CLIC4
RHCE	RHCE
STMN1	STMN1
ZNF593	ZNF593
SH3BGRL3	SH3BGRL3
CD52	CD52
ZNF683	ZNF683
HMGN2	HMGN2
RPS6KA1	RPS6KA1
SFN	SFN
NUDC	NUDC
MAP3K6	MAP3K6
FGR	FGR
LINC02574	LINC02574
IFI6	IFI6
STX12	STX12
THEMIS2	THEMIS2
PTAFR	PTAFR
PHACTR4	PHACTR4
SNHG12	SNHG12
LAPTM5	LAPTM5
FABP3	FABP3
SPOCD1	SPOCD1
CCDC28B	CCDC28B
MARCKSL1	MARCKSL1
KIAA1522	NHSL3
FNDC5	FNDC5
CLSPN	CLSPN
COL8A2	COL8A2
SH3D21	SH3D21
CSF3R	CSF3R
CDCA8	CDCA8
YRDC	YRDC
UTP11	UTP11
POU3F1	POU3F1
HEYL	HEYL
HPCAL4	HPCAL4
MYCL	MYCL
MFSD2A	MFSD2A
PPT1	PPT1
CITED4	CITED4
